M, N, B, ALGO_NAME, RESULT, RUNNING_TIME
2, 8, 3.000000, PDP, 18.000000, 0.000767
2, 8, 3.000000, TABU, 1.000000, 0.047000
2, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 3.000000, PDP, 14.000000, 0.000140
2, 8, 3.000000, TABU, 1.000000, 0.047000
2, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 3.000000, PDP, 15.000000, 0.000190
2, 8, 3.000000, TABU, 1.000000, 0.047000
2, 8, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 12.000000, 0.000187
2, 8, 5.000000, TABU, 1.000000, 0.031000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 8.000000, 0.000147
2, 8, 5.000000, TABU, 1.000000, 0.031000
2, 8, 5.000000, TABU-RAND, 1.125000, 0.000000
2, 8, 5.000000, PDP, 12.000000, 0.000210
2, 8, 5.000000, TABU, 1.000000, 0.047000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 5.000000, 0.000156
2, 8, 5.000000, TABU, 1.000000, 0.047000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 6.000000, 0.000181
2, 8, 5.000000, TABU, 1.000000, 0.031000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 2.000000, 0.000169
2, 8, 5.000000, TABU, 1.000000, 0.047000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 10.000000, 0.000102
2, 8, 5.000000, TABU, 1.000000, 0.031000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 9.000000, 0.000224
2, 8, 5.000000, TABU, 1.000000, 0.031000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 20.000000, 0.000251
2, 8, 5.000000, TABU, 1.000000, 0.031000
2, 8, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 5.000000, PDP, 13.000000, 0.000092
2, 8, 5.000000, TABU, 1.076923, 0.032000
2, 8, 5.000000, TABU-RAND, 1.076923, 0.000000
2, 8, 7.000000, PDP, 10.000000, 0.000221
2, 8, 7.000000, TABU, 1.000000, 0.031000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 7.000000, 0.000164
2, 8, 7.000000, TABU, 1.000000, 0.031000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 11.000000, 0.000170
2, 8, 7.000000, TABU, 1.000000, 0.079000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 11.000000, 0.000093
2, 8, 7.000000, TABU, 1.000000, 0.016000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 22.000000, 0.000133
2, 8, 7.000000, TABU, 1.045455, 0.031000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 14.000000, 0.000145
2, 8, 7.000000, TABU, 1.000000, 0.032000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 3.000000, 0.000164
2, 8, 7.000000, TABU, 1.000000, 0.078000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 14.000000, 0.000183
2, 8, 7.000000, TABU, 1.142857, 0.031000
2, 8, 7.000000, TABU-RAND, 1.142857, 0.000000
2, 8, 7.000000, PDP, 8.000000, 0.000119
2, 8, 7.000000, TABU, 1.000000, 0.032000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 8, 7.000000, PDP, 13.000000, 0.000210
2, 8, 7.000000, TABU, 1.000000, 0.031000
2, 8, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 11.000000, 0.000375
2, 10, 3.000000, TABU, 1.000000, 0.031000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 16.000000, 0.000278
2, 10, 3.000000, TABU, 1.000000, 0.046000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 8.000000, 0.000375
2, 10, 3.000000, TABU, 1.125000, 0.032000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
